gene    type    p_val   value
NCOA2   Loss    0.05    -0.09
MYC     Loss    0.05    -0.06
CDKN2A  Loss    0.05    -0.1
FANCG   Loss    0.05    -0.08
GRHPR   Loss    0.05    -0.06
C9orf47 Loss    0.05    -0.08
FANCC   Loss    0.05    -0.07
PTEN    Loss    0.05    -0.14
CCND1   Loss    0.05    -0.23
RSF1    Loss    0.05    -0.06
ATM     Loss    0.05    -0.07
ZBTB16  Loss    0.05    -0.07
CDKN1B  Loss    0.05    -0.06
KRAS    Loss    0.05    -0.11
KMT2D   Loss    0.05    -0.09
CDK4    Loss    0.05    -0.09
MDM2    Loss    0.05    -0.07
MTIF3   Loss    0.05    -0.06
BRCA2   Loss    0.05    -0.12
RB1     Loss    0.05    -0.12
FOXA1   Loss    0.05    -0.12
ATG14   Loss    0.05    -0.06
RAD51B  Loss    0.05    -0.1
AKT1    Loss    0.05    -0.28
MESDC2  Loss    0.05    -0.07
IDH2    Loss    0.05    -0.08
PALB2   Loss    0.05    -0.07
CYLD    Loss    0.05    -0.07
TK2     Loss    0.05    -0.1
ZFHX3   Loss    0.05    -0.1
FANCA   Loss    0.05    -0.24
OR3A3   Loss    0.05    -0.11
TP53    Loss    0.05    -0.18
CDK12   Loss    0.05    -0.15
BRCA1   Loss    0.05    -0.13
SPOP    Loss    0.05    -0.17
RNF43   Loss    0.05    -0.07
RAD51C  Loss    0.05    -0.09
BRIP1   Loss    0.05    -0.08
RNF125  Loss    0.05    -0.07
ERCC2   Loss    0.05    -0.22
ERCC1   Loss    0.05    -0.22
CST7    Loss    0.05    -0.1
ASXL1   Loss    0.05    -0.15
L3MBTL1 Loss    0.05    -0.1
AURKA   Loss    0.05    -0.08
GNAS    Loss    0.05    -0.09
MIS18A  Loss    0.05    -0.08
ERG_TMPRSS2     Loss    0.05    -0.11
ETS2    Loss    0.05    -0.09
IGSF5   Loss    0.05    -0.09
MX2     Loss    0.05    -0.08
MX1     Loss    0.05    -0.1
TOP3B   Loss    0.05    -0.1
CHEK2   Loss    0.05    -0.11
KDM6A   Loss    0.05    -0.29
AR      Loss    0.05    -0.28
TEX11   Loss    0.05    -0.23
MED12   Loss    0.05    -0.27
HDAC8   Loss    0.05    -0.26
SMARCA1 Loss    0.05    -0.27
ARID1A  Loss    0.01    -0.13
HSD3B1  Loss    0.01    -0.09
FCER1A  Loss    0.01    -0.1
MDM4    Loss    0.01    -0.12
MYCN    Loss    0.01    -0.13
SPDYA   Loss    0.01    -0.07
MSH2    Loss    0.01    -0.08
MSH6    Loss    0.01    -0.08
IL1RL2  Loss    0.01    -0.13
ERCC3   Loss    0.01    -0.11
IDH1    Loss    0.01    -0.17
FANCD2  Loss    0.01    -0.1
MLH1    Loss    0.01    -0.1
CTNNB1  Loss    0.01    -0.08
ATXN7   Loss    0.01    -0.1
FOXP1   Loss    0.01    -0.13
